Finishes,DNF,Accidents
106,0.0,2
99,0.0,3
94,0.0,8
106,0.0,18
138,0.0,12
148,16.0,25
145,1.0,38
147,3.0,17
194,0.0,13
214,4.0,11
212,3.0,17
173,5.0,16
273,7.0,10
244,4.0,11
200,10.0,10
171,15.0,7
202,12.0,5
165,0.0,14
191,2.0,10
196,3.0,7
191,2.0,6
